V14,V10,V17,V4,V11,V3,V12,V16,V7,V2,V19,V21,NormalizedAmount,V27,V9,Class
-4.28925378244217,-2.77227214465915,-2.83005567450437,3.9979055875468,3.20203320709635,-1.60985073229769,-2.89990738849473,-1.14074717980657,-2.53738730624579,1.95199201064158,0.416955705037907,0.517232370861764,-0.3059379780280906,0.261145002567677,-2.77008927719433,1
-1.69202893305906,-0.838586564582682,0.599717413841732,2.2886436183814,-0.414575448285725,1.08846277997285,-0.503140859566824,0.666779695901966,0.325574266158614,-3.15730712090228,0.283344830149495,0.661695924845707,7.050479766374634,-0.252773122530705,-0.270952836226548,1
-1.47010153611197,-1.52541162656194,-4.78183085597533,2.33024305053917,2.03291215755072,-0.359744743330052,-6.56012429505962,-2.28219382856251,0.562319782266954,1.759247460267,-1.33444106667307,-0.294166317554753,3.030593797802809,0.0395659889264757,-0.238253367661746,1
-6.77109672468083,-4.80163740602813,-12.5984185405511,2.67978696694832,4.89584422347523,-2.5928442182573,-10.9128193194019,-7.35808322132346,-3.49619729302467,1.35836702839758,0.308333945758691,0.573574068424352,0.5145320539563343,-0.827135714578603,-0.24776789948008,1
-6.07933719308005,-2.44746925511151,6.73938438478335,4.73279513041887,2.10134386504854,-4.30459688479665,-4.6096283906446,2.58185095378146,1.71344498787235,3.0197404207034,-2.72185312222835,-0.37906830709218,-0.292031706299541,-0.0100162234965625,-1.28285782036322,1
-10.6911962118171,-6.18789062970647,-1.12905587703585,6.6757321631344,5.66439470857116,-6.24069657194744,-9.85448482287037,-2.04197379107768,-1.63173467271809,4.13783683497998,-1.93466573889727,0.36451420978479,-0.292031706299541,0.735821636119662,-2.79589246446281,1
-10.7338541032306,-6.04546779778801,-1.74635013628103,6.34855667313983,6.75462544809695,-6.56059996809658,-8.94817857893317,-1.63896011485587,-1.68910220031328,4.13246389713003,-1.32735663549015,0.370508651493253,-0.292031706299541,0.737040381683977,-3.13940905736457,1
-9.17716637009146,-5.13445447110633,1.31301362907797,6.07826550560828,4.56072010550223,-5.77593510831666,-8.87374836164535,-0.871688490451564,-0.812891249491333,3.71288929524103,-2.37059945059811,0.156617169389793,-0.292031706299541,0.530507388890912,-2.21431131204961,1
-9.25230724747513,-4.95949291161496,0.784426598154274,6.04744510216478,6.43905335158373,-5.61515901119457,-7.52011739288703,-0.502362190618164,-0.746579273100222,3.80907594667829,-1.80801215867357,0.208828369001674,-0.292031706299541,0.518868284577287,-2.6786785422399,1
-6.21025774661028,-4.62498495406596,-4.83032424210571,4.007682804682,5.5887239146762,-5.32997618300917,-7.14824263637845,-3.5995402092184,-3.96859261813707,2.30089443776603,2.2501232487881,0.589669127323198,-0.292031706299541,0.594549978086464,-0.486096552344833,1
